prompt,A,B,C,D,E,answer
Who did Agnes Zawadzki contact to train with after placing fourth at the novice level at the 2008 U S Nationals?,Rafael Arutyunyan,Frank Carroll,Tom Zakrajsek,Brian Orser,Yuka Sato,C
What was the outcome of the Battle of Strindafjord?,Nicholas Arnesson emerged as the victor and solidified his control over Viken.,The excerpt does not provide information about the outcome of the Battle of Strindafjord.,The battling parties reached a peaceful resolution and agreed to end the civil war.,The Baglers successfully defended their position against an attack by Sverre and his forces.,"Sverre defeated the Baglers, forcing Nicholas Arnesson to flee to Denmark.",E
What accusations were made against Milinda Moragoda?,Milinda Moragoda was accused of money laundering and tax evasion.,Milinda Moragoda was accused of embezzlement and bribery.,Milinda Moragoda was accused of widespread corruption and abuse of power.,Milinda Moragoda was accused of election fraud and manipulating the parliamentary committee.,Milinda Moragoda was accused of fiscal mismanagement and financial irregularities.,C
How did the Imperial Roman army approach battles?,"The Roman army would march towards their enemies, hurl their pilum, and charge accompanied by loud shouts and cornu trumpets.","The Roman army would march towards their enemies, accompanied by loud shouts and cornu trumpets, and engage in hand-to-hand combat.",The Roman army would march silently towards their enemies and engage in hand-to-hand combat.,The Roman army would demoralize their enemies with shouts and other loud noises before engaging in hand-to-hand combat.,"The Roman army would march towards their enemies, hurl their pilum, and engage in hand-to-hand combat.",A
How did Deeside College increase its student numbers and improve efficiency?,"Deeside College invested in new outreach centers and developed partnerships with local schools, libraries, and community centers, resulting in increased student numbers and improved efficiency.","Deeside College made investments in learning facilities and opened new outreach centers across Flintshire county, resulting in increased student numbers and improved efficiency.","Deeside College implemented stricter financial systems and set up a personnel and finance department, resulting in significant efficiency improvements and increased student numbers.","Deeside College invested in new outreach centers and developed partnerships with local schools, libraries, and community centers, resulting in drastic efficiency improvements and increased student numbers.","Deeside College maximized income through increased student numbers and made drastic efficiency improvements, resulting in considerable investments in learning facilities and new financial systems.",A
"Where did Roberto Leal, the Spanish television presenter, reporter, and journalist, graduate from?",University of Valencia,University of Madrid,University of Barcelona,University of Granada,University of Seville,E
"What was the reception for the album ""In Absentia"" by Steven Wilson?","The album was criticized by Allmusic, stating that it lacked immediate appeal.",The album received no critical acclaim and was generally disliked by listeners.,The album was voted as the number 2 Top 20 album of 2002 by Metal Storm.,"The album received mixed reviews from critics, with some praising it and others criticizing it.",The album was voted as the number 46 Top 200 album of all time by Metal Storm.,C
What was the outcome of the suit filed by Sharron Angle in relation to the tax increase passed by the Legislature in Nevada?,The suit resulted in a compromise where the tax increase was reduced by half.,The suit was unsuccessful and the tax increase was implemented without any changes.,The suit was dismissed by the court due to lack of evidence.,The suit is still ongoing and awaiting a final decision.,The suit led to the reversal of the tax increase and the restoration of the Nevada Constitution's two-thirds vote provision.,E
How did William of Malmesbury potentially secure the position of Abbot of Malmesbury Abbey in 1140?,"By forging and adding anachronistic elements to his work Gesta Regum, which caught the attention of Bishop Roger of Salisbury.",By obtaining the support of SS Fagan and Deruvian.,"By forming an acquaintance with Bishop Roger of Salisbury, who had a castle at Malmesbury.",By receiving positive reception for his Gesta Regum from Bishop Roger of Salisbury.,By proving the urgent need for an Abbot at Malmesbury Abbey due to an overwhelming demand for religious leadership in the area.,C
What was Carthage known for in the 7th century BC?,The establishment of Naxos and Cumae as major Greek colonies.,The development as a leading commercial center in the West Mediterranean region.,The colonization of Ibiza.,The retreat of Phoenicians to the western part of Sicily.,The overthrow by the Roman Republic.,B
What was the duration of the first season of Mam talent!?,5 months,11 weeks,2 months,14 weeks,3 months,D
What was the outcome of James H. Scheuer's political races in the 1970s?,"In 1970, he defeated Representative Jacob H. Gilbert but was later defeated in a different New York City district in 1974.","In 1970, he was defeated by Representative Jacob H. Gilbert, and did not run for Congress again.","In 1970, he defeated Representative Jonathan Bingham but was later defeated by Representative Jacob H. Gilbert in 1972.","In 1970, he defeated Representative Jacob H. Gilbert but was later defeated by Representative Jonathan Bingham in 1972.","In 1970, he was defeated by Representative Jonathan Bingham and did not run for Congress again.",D
What was the outcome of South Africa's cricket tour of England in 1960?,South Africa's cricket tour of England in 1960 was a success.,South Africa's cricket tour of England in 1960 was a moderate success.,The information is not provided in the excerpt.,South Africa's cricket tour of England in 1960 was a failure.,South Africa's cricket tour of England in 1960 resulted in a tie.,D
What were the accomplishments of Tyler Boyd during his high school football career?,Tyler Boyd primarily played as a wide receiver for Clairton High School and led the team to an undefeated record in his three years as a starter.,Tyler Boyd was known for his defensive skills as a cornerback for Clairton High School and was named the WPIAL Defensive Player of the Year.,Tyler Boyd excelled as a quarterback for Clairton High School and set a school record for passing yards in his senior year.,Tyler Boyd played multiple positions for Clairton High School and helped the team win four WPIAL and four PIAA Class A titles.,Tyler Boyd dominated as a running back for Clairton High School and led the WPIAL in rushing yards and touchdowns in his senior year.,D
Which formation is placed at the first massive marine limestone bed below the fluvial sediments of the Abo Formation?,Abo Formation,Bedrock Formation,Madera Formation,Terra Formation,Yeso Formation,C
What happens when Jim bumps into Orla at the bar?,Jim asks Orla for a drink and they start chatting.,Jim discusses his relationship with Yvonne with Orla.,Jim apologizes to Orla for his behavior towards Yvonne.,Jim ignores Orla and continues drinking alone.,Jim asks Orla for advice on dealing with Chris's illness.,D
What potential cause does House suspect for Ali's symptoms?,Ali's symptoms are caused by a chemical imbalance in her brain. ,Ali's symptoms are caused by a viral infection in her brain. ,Ali's symptoms are caused by a parasite in her brain. ,Ali's symptoms are caused by a fungal infection in her brain. ,Ali's symptoms are caused by a bacterial infection in her brain. ,D
"Which track on the Spiders album features David ""Yorkie"" Palmer on backing vocals?","""Hip-hop Swing""","""Neighbourhood""","""B-sides""","""Female of the Species""","""Straight Beat""",B
What is the aim of IDEST's European days?,To organize European days within the European Union,To combine national legal experiences and cultural approaches in law,To reinforce academic and professional cooperation,To reunite universities and local French practitioners,To develop and cooperate with the University of Paris-Sud,C
"What is the etymology of the genus name ""Ixoreus""?","The genus name Ixoreus comes from the Ancient Greek ixos, meaning ""mistletoe.""","The genus name Ixoreus comes from the Ancient Greek ixos, meaning ""Rocky Mountains.""","The genus name Ixoreus comes from the Ancient Greek ixos, meaning ""mockingbird.""","The genus name Ixoreus comes from the Ancient Greek ixos, meaning ""plateau.""","The genus name Ixoreus comes from the Ancient Greek ixos, meaning ""thrush.""",A
Who was responsible for the redesign and downsizing of the United States currency in the 1920s?,Coffin,Clark,Bailey,Byrd,Dewey,E
Who became the guardian of Newport Castle between 1930 and 1950?,"No one, as there was no guardian during that time period.",Lord Tredegar,The Corporation,The Office of Works,The east side,D
"How did Lupe Fiasco incorporate the beat from the song ""Still Tippin'"" in one of his mixtape songs?","Lupe Fiasco incorporated the beat from ""Still Tippin'"" as an introduction to his mixtape song called ""Switch"".","Lupe Fiasco collaborated with the artist behind ""Still Tippin'"" to create a remix version of the song for his mixtape called ""Switch"".","Lupe Fiasco used the beat from ""Still Tippin'"" for the chorus of his mixtape song called ""Switch"".","Lupe Fiasco sampled the beat from ""Still Tippin'"" and added it as a background track in one of his verses in a mixtape song called ""Switch"".","Lupe Fiasco completely reimagined the beat from ""Still Tippin'"" and used it as the main instrumental in his mixtape song called ""Switch"".",C
In which year did David Grusky join Stanford University as a professor of sociology?,The given excerpt does not provide this information,1986,1999,After 2004,2004,C
What was the reason for the BVG's purchase of new S-Bahn trains for the Berlin S-Bahn network?,"The BVG received the oldest carriages from the DR, but they wanted to quickly upgrade the subway to modern standards.","The BVG didn't have enough funds to maintain or repair the existing S-Bahn trains, so new ones were purchased.",The BVG wanted to improve the efficiency of the Berlin S-Bahn network by introducing new technology.,The BVG wanted to reduce the overcrowding on the Berlin S-Bahn trains and improve passenger comfort.,The BVG wanted to keep the Berlin S-Bahn network in its original condition and did not purchase new trains.,A
Who is Samuel Joseph Fogarino?,A guitarist for the band Interpol.,A singer for the band Interpol.,The bassist for the band Interpol.,The keyboardist for the band Interpol.,The drummer for the band Interpol.,E
What is the significance of Arrilaser film recorders in the film industry?,"Arrilaser film recorders are used for film-out and have applications in the production of solar panels, wind turbines, and hydroelectric power plants.","Arrilaser film recorders are used for film-out and have applications in the production of food, clothing, and shelter.","Arrilaser film recorders are used for film-out and have applications in programmable logic signal processing, Super-resolution imaging, physical neural networks, control systems, reconfigurable computing, in-memory computing, brain-computer interfaces, and RFID.",Arrilaser film recorders are used for film-out and have a visual look that directors prefer for their movies.,"Arrilaser film recorders are used for film-out and have applications in optical fiber communication, satellite communication, and wireless communication.",D
What criteria are used to determine whether a brewery is included in the list of breweries in Canada on Wikipedia?,Only breweries that have a wide variety of beer offerings are included in the list.,Only breweries that have won prestigious awards are included in the list.,Only breweries that are notable and relevant to Canadian culture are included in the list.,Only breweries that have significant historical value are included in the list.,Only breweries that have a long-standing presence in the Canadian market are included in the list.,C
"What was the collective name given to the units of the force formed in 1851, consisting of the Corps of Guides, four regiments of Sikh Local Infantry, the Transfrontier Brigade, and five batteries of artillery?",Punjab Infantry,Scinde Camel Corps,North-West Frontier Regiment,Punjab Cavalry,Punjab Irregular Force,E
How is a Justice of the Supreme Court in Thailand appointed?,A Justice of the Supreme Court can be appointed by the Administrative Court and the Constitutional Court based on their judgment and expertise.,A Justice of the Supreme Court can be appointed directly by the Prime Minister of Thailand.,A Justice of the Supreme Court is randomly selected from a pool of eligible candidates.,"A Justice of the Supreme Court can be appointed from among justices of the Court of Appeals having seniority, extensive knowledge and experience.",A Justice of the Supreme Court is elected through a nationwide voting process.,D
"Which rural residential area of Bridgetown, Western Australia, has experienced growth since the 1990s?",None of the above,Kangaroo Gully,Town's east,Winter Festival,Blue lights,B
What was the outcome of the 2009 US Supreme Court case 14 Penn Plaza LLC v. Pyett?,The Court decided that age discrimination claims under the ADEA cannot be heard in court.,"The Court decided that all age discrimination claims must be decided through arbitration, as required by the union contract.","The Court ruled in favor of the employer, stating that unionized workers cannot sue for age discrimination.","The Court ruled in favor of the employees, stating that unionized workers can sue for age discrimination.",The Court decided that unionized workers are exempt from age discrimination claims under the ADEA.,B
What was the purpose of Gourlay's two-volume Statistical account of Upper Canada?,The Statistical account of Upper Canada was compiled to analyze the political structure of Upper Canada and propose reforms to the governmental system.,The Statistical account of Upper Canada was compiled to provide a historical account of the settlement of Upper Canada and document the interactions between indigenous communities and European settlers.,The Statistical account of Upper Canada was compiled to analyze the economic potential of Upper Canada and identify opportunities for business growth in the province.,"The Statistical account of Upper Canada was compiled with a view to a grand system of emigration, which aimed to improve the living conditions in the province by encouraging people to move to Upper Canada.",The Statistical account of Upper Canada was compiled to highlight the cultural diversity of Upper Canada and promote tolerance and acceptance among the different communities in the province.,D
"How did Packwaukee, Wisconsin get its name?","Packwaukee was named after a Potawatomi word meaning ""shallow land"".",Packwaukee was named after a nearby river known for its shallow waters.,Packwaukee was named after a famous Native American chief who was from the Winnebago tribe.,Packwaukee was named after an early settler who was known for his ability to pack and carry heavy loads.,Packwaukee was named after a Dutch explorer who discovered the area.,C
"What is the significance of Derek Wilson's character in the TV show ""See""?",He becomes a series regular after the pilot.,He is a recurring character in the show.,He is a sick man with an unhealthy interest in a little girl.,He is the second appearance of Ricky Mabe in the show.,He is the actor who plays Linus in the show.,A
What is a Minkowski diagram used for?,The Minkowski diagram is used to plot quantum phenomena and understand the behavior of subatomic particles.,The Minkowski diagram is used to illustrate the energy states of atoms in a crystal lattice.,The Minkowski diagram is used to visualize the motion of objects with non-constant velocities.,The Minkowski diagram is used to depict the orbits of celestial bodies in general relativity.,The Minkowski diagram is used to analyze the spatial and temporal relationships in special relativity.,E
What is the unknown agent that has been killing an entire generation of children on the island of Tarimond in the Scottish Isles?,A toxic substance that is accidentally released into the island's water supply.,A mysterious disease with no known cure.,A supernatural being that feeds on the life force of children.,An undiscovered species of animal that preys on the island's children.,The cause of death remains unknown.,E
What is the potential consequence of IP activators in patients?,IP activators can inhibit the entry of platelets and leukocytes into sites of tissue disturbance.,IP activators have no consequence in patients.,IP activators can induce life-threatening pulmonary edema.,IP activators can decrease the capillary permeability and swelling in rats.,IP activators can increase the adherence of circulating platelets and leukocytes to vascular endothelium.,C
What research areas are covered by the scientists at the adjoined Institute for Fish Resources in Varna Aquarium?,"Marine engineering, aquaculture, and oceanography","Ichthyology, marine archaeology, and maritime law","Hydrodynamics, marine ecology, and marine mammalogy","Hydrobiology, hydrochemistry, and marine microbiology","Plankton, benthos, and marine geology",D
How did the graphite materials used in the construction of the KIWI B series nuclear thermal rocket reactor erode?,The graphite materials eroded due to the cracking of the fuel bundles caused by immense heat and vibration.,"The graphite materials eroded under the stream of superheated hydrogen, a reducing agent.",The graphite materials eroded due to the erosion resistance characteristics of niobium carbide.,The graphite materials eroded due to intense heat and vibration during the initial firings of the rocket.,The graphite materials eroded as a result of the boron content in the low-boron graphite matrix.,B
What is one of the requirements for school districts in Pennsylvania under the Taxpayer Relief Act?,School districts must hold a public hearing regarding the proposed tax rates.,School districts must include the proposed tax rates in their preliminary budget proposal.,School districts must present their estimated expenditures to the Board 90 days before the election preceding the fiscal year.,School districts must provide details of their estimated revenues and expenditures in the final budget proposal.,School districts must submit a final budget proposal no later than 90 days prior to the election preceding the fiscal year.,B
Why was the Hubble Deep Field South image created and where was the field chosen for this image located?,The Hubble Deep Field South image was created to provide observatories in the southern hemisphere with a similarly deep optical image of the distant universe as those in the northern hemisphere. The field chosen was in the constellation of Tucana at a right ascension and declination.,The Hubble Deep Field South image was created to map the position of known galaxies. The field chosen was in the constellation of Tucana at a right ascension and declination.,The Hubble Deep Field South image was created to capture images of supernovas. The field chosen was in the constellation of Tucana at a right ascension and declination.,The Hubble Deep Field South image was created to provide observatories in the southern hemisphere with a close-up image of the Milky Way's galactic disk. The field chosen was in the constellation of Tucana at a right ascension and declination.,The Hubble Deep Field South image was created to study the formation of galactic stars. The field chosen was in the constellation of Tucana at a right ascension and declination.,A
"What were the critical and commercial responses to the film ""Sri Ramadasu""?","The film received mixed reviews from both critics and audiences. While the lead actor was praised for his portrayal, the music director's work received negative feedback. The film had a moderate box office success.","The film received highly positive reviews and the lead actor received unanimous positive appreciation for his portrayal. However, the music director's work received mixed reviews. The film had a moderate box office success.","The film received highly positive reviews from critics, but the lead actor's performance received mixed feedback. The music director's work was highly praised. The film was a moderate box office success.",The film received highly positive reviews and the lead actor received unanimous positive appreciation for his portrayal. The music director also received rave reviews for his work. The film was a blockbuster hit at the box office.,The film received negative reviews from both critics and audiences. Both the lead actor and the music director were criticized for their performances. The film was a commercial failure.,D
What was the outcome of the sale of WAAF radio station by Entercom?,The sale resulted in the station changing its name.,The rock programming continued on another FM frequency.,"The rock programming continued on the ""WAAF""-branded HD Radio channels of WWBX and WEEI-FM.",The station ceased to exist as a rock station.,Entercom terminated all rock programming on WAAF.,C
Who was the Australian rules footballer who played for the Port Adelaide Football Club?,Michael Davis,David Johnson,Francis James Magor,Andrew Brown,John Smith,C
Which century did the core hexagram and line statements of Bianhua originate from?,3rd century BCE,4th century BCE,5th century BCE,7th century BCE,2nd century BCE,D
"In which year was Ernest Grosjean's ""Memento for organ"" published?",1908,1912,1880,The provided information does not indicate the publication year.,1917,E
"What is the significance of the publication by Johann Gottfried Gregorii from 1712, as mentioned in the Wikipedia excerpt?",The publication explores the cultural practices of cannibals and their relevance to punishment.,The publication discusses the sin of drinking wine and its consequences.,The publication outlines the concept of capital punishment by breaking on the wheel as opposed to beheading.,"The publication provides an alternate account of an execution, suggesting a more humane method of beheading.",The publication presents a detailed analysis of various forms of execution throughout history.,D
What is the primary focus of Dan Perjovschi's drawings?,Dan Perjovschi's drawings primarily depict everyday life scenes in different museum spaces.,Dan Perjovschi's drawings primarily portray historical events and figures from various time periods.,Dan Perjovschi's drawings primarily explore themes of nature and the environment.,Dan Perjovschi's drawings primarily showcase abstract and geometric patterns in vibrant colors.,Dan Perjovschi's drawings primarily serve as a form of artistic expression using political commentary.,E
What are the two main causes believed to contribute to the development of swimmer's shoulder? ,Lack of flexibility and poor nutrition,Structural abnormalities and excessive chlorine exposure,Overuse and biomechanics of the stroke,Improper warm-up and inadequate rest,Inadequate coaching and equipment malfunction,C
"What is the primary drawback of PVC decking compared to other synthetic decking products, according to the provided information?",PVC decking requires frequent maintenance to keep its appearance intact.,PVC decking is more expensive than other synthetic decking products.,PVC decking is less resistant to weathering and UV rays.,PVC decking has a shorter lifespan compared to other synthetic decking products.,PVC decking is not as durable as other synthetic decking products.,B
What significant event occurs in the mid-credits scene of the movie Fast Five?,Letty is revealed to be alive and is seen in a recent photo.,Dom challenges Brian to a final race to prove who is the better driver.,Vince's share of the cash is given to his family.,Hobbs is given a file by Monica Fuentes concerning a military convoy hijack in Berlin.,Brian and Mia split the cash and go their separate ways.,A
What is Martin Knight's career background before his foray into writing?,"Martin Knight had a prosperous career in the financial sector, starting as a library assistant at the Financial Times and later working for Arab Banking Corporation in Bahrain.","Martin Knight was a prominent scientist, known for his research and discoveries in the field of memcapacitive effects observed in switches with memristive behavior.","Martin Knight was a successful business tycoon, specializing in the printing and solution-processing technology used to fabricate memristive devices.","Martin Knight was an author who primarily focused on writing about unsolved murder cases, including the Arundel Murder in 1948.",Martin Knight was an expert in electrical devices showing memristive behavior in atomically thin nanomaterials or atomic sheets.,A
"What recognition did Bradley Cooper receive for his performance in the film ""All About Steve""?",He received nominations for his performances in various action and comedy films.,"He was not recognized for his performance in ""All About Steve.""",He was nominated for an MTV Movie Award and a Satellite Award for Best Actor - Motion Picture.,He won a Golden Raspberry Award.,He won a Golden Raspberry Award and was nominated for an MTV Movie Award and a Satellite Award for Best Actor - Motion Picture.,D
"What was the title given to Mbawuwo Mgonanjerwa Gondwe, who was chosen as the paramount chief by the colonial administration?",Mgonanjerwa,Themba,Gonapamuhanya,Chikulamayembe,Mbawuwo,B
What was the reason for US Route 80 being removed from the state highway system in California?,I-8 assumed the routing from San Diego to El Centro and Yuma.,The road's daily vehicle count was significantly lower than expected.,The 1964 state highway renumbering led to its removal from the system.,The interchange with Cabrillo Freeway caused excessive congestion and traffic delays.,The road was in poor condition and deemed unsafe for travel.,C
"In what year did Jamian Juliano-Villani's second show at JTT gallery, Ten Pound Hand, open?",2016,2019,2018,2015,2017,C
"Which of the following options best defines the term ""ahistoricism""?",A person's failure to acknowledge the chronological order of prehistoric and dinosaur eras.,"A lack of concern for history or tradition, often resulting in historical inaccuracy or ignorance.",A failure to frame an argument or issue in a historical context or to disregard historical fact.,A critical perspective highlighting the need for historical accuracy and knowledge.,"A term used to describe films featuring dinosaurs and prehistoric humans living together, despite being separated by millions of years.",C
In which year did Helen LaFrance receive the Folk Heritage Award?,1992,2015,2001,2011,1991,D
What is the advantage of using a Yorkshire-style billhook compared to a Llandeilo and Carmarthenshire-style billhook?,It has a curved front and straight back edges,It has a smaller handle,It lacks a back edge,It has a hedge grip notch at the top,It is lighter in weight,E
"What contributed to the controversy surrounding the album ""The Offspring""?",The band took a long time to sell all the copies of the album.,The album initially sold a record-breaking number of copies.,The album's closing track received critical acclaim from music critics.,One of the copies of the album was destroyed on a television show.,The album's cover art depicted controversial imagery.,D
"What is the significance of Serge Pizzorno's solo project, The S L P, according to the provided Wikipedia excerpt?",The S L P features a prominent appearance on the album Beyond Ugly by Bristol band Malachai.,"The S L P introduced a new preferred guitar, the red Rickenbacker 481, to all of Kasabian's music videos and live performances.","The S L P led to a collaboration with British rapper Little Simz on the single ""Favourites.""",The S L P resulted in Serge Pizzorno winning the Man of the Match award.,The S L P helped determine the average temperature of the Universe by measuring the temperature of the cosmic microwave background radiation.,C
What were some factors responsible for the losses suffered by Napoleon's army during the French invasion of Russia?,The harsh winter weather in Russia caused a significant decrease in the French army's numbers.,"The French army encountered fierce resistance from the Russian military, resulting in heavy casualties.","Cannibalism within the French army was reported during the invasion, leading to a decrease in troop strength.",Starvation and the winter weather both contributed to devastating losses in Napoleon's army.,"The French soldiers were constantly harassed by Cossacks, which led to significant casualties.",D
How is the migration of birds related to disease transmission?,"The migration of birds facilitates the transmission of micro-organisms, including those that may pose a risk to human health.","The migration of birds contributes to the spread of avian influenza, posing a special risk for disease transmission.","The migration of birds primarily facilitates the transmission of ticks and lice, but not micro-organisms.",The migration of birds aids in the movement of other species but has no direct relation to disease transmission.,The migration of birds does not play a role in the transmission of any diseases.,A
What is the historical significance of Wilhelm Dilthey?,Dilthey was a British novelist known for her works that showcased the struggles of female empowerment in Victorian society.,Dilthey was an American admiral who led the U.S. Navy to victory in the Battle of Santiago de Cuba during the Spanish-American War.,Dilthey was a Portuguese physician who was the first woman in her country to become a licensed medical doctor.,Dilthey was a German ethnographer and colonial administrator who played a key role in shaping British colonial policy in the early 20th century.,"Dilthey was a German psychologist, sociologist, and philosopher who made significant contributions to the fields of hermeneutics and historical understanding.",E
"According to Rachel Botsman, how does she define collaborative consumption and what does she suggest people should do instead?",Collaborative consumption is the use of technology and peer communities to redefine how we consume. Rachel Botsman suggests that people should rent goods such as power drills instead of purchasing them.,Collaborative consumption is the practice of borrowing and selling goods through technology and peer communities. Rachel Botsman suggests that people should barter goods such as power drills instead of renting them.,"Collaborative consumption is the act of traditional sharing, bartering, lending, trading, renting, gifting, and swapping redefined through technology and peer communities. Rachel Botsman suggests that people should donate goods such as power drills instead of selling them.",Collaborative consumption is the use of technology and peer communities to redefine how we consume. Rachel Botsman suggests that people should share goods such as power drills instead of owning them.,Collaborative consumption is the sharing and renting of goods through technology and peer communities. Rachel Botsman suggests that people should trade goods such as power drills instead of purchasing them.,D
When did WWF Superstars of Wrestling air in the United Kingdom during the mid-1990s? ,Saturday nights,Monday nights,Sunday afternoons,Tuesday mornings,Friday nights,C
What is the significance of Yehuda Gur in Jewish thought?,He received the Bialik Prize for Jewish Thought in 1946.,He was a writer known for his works on Jewish philosophy.,He was a renowned educator in the Institute for Hebrew Teachers at Vilna.,He was a linguist who contributed to the field of Hebrew language.,He was a translator of religious texts from Russian to Hebrew.,A
What was the fate of Loyalists in the southern American colonies during the American war of independence?,Loyalists in both the northern and southern American colonies joined forces with the American rebels to fight against British rule.,"Many Loyalists in the southern American colonies fled to Canada, while Loyalists in the northern colonies fled to the Bahamas with their slaves.","Many Loyalists in the southern American colonies fled to the islands of the Bahamas with their slaves, while Loyalists in the northern colonies fled to Canada.",Most Loyalists in the southern American colonies remained loyal to the British Crown and stayed in their respective colonies.,Loyalists in both the northern and southern American colonies were forcibly removed from their homes and relocated to various British colonies.,C
What is the possible number of combinations in O clock's Tone on Tone range?,15,441,439,21,29,B
Which approximation is no longer accurate for beams with much larger divergence?,The paraxial approximation,The Gaussian beam model,The Rayleigh approximation,None of the above,The physical optics analysis,B
What type of architecture is predominantly found in the Ethiopian Orthodox Tewahedo Church? ,Gothic,Gothic Revival,Rococo ,Baroque,Byzantine,E
What was one of Claude Montal's patented inventions for the piano?,A system of interchangeable piano keys,A mechanism to change the color of the piano keys,A soft pedal that reduced key dip proportionally,A mechanism to adjust the height of the piano bench,A device to amplify the sound of the piano strings,C
"Which road connects Duluth to Lilburn via South Berkely Road to the Gwinnett Transit Center, based on the provided Wikipedia excerpt?",Gwinnett County Transit Center,"Atlanta, Georgia",Gwinnett Place Mall 30,Indian Trail - Lilburn Road,Gwinnett Place Transit Center,D
What prompted the evacuation of Hill Brow Preparatory School for Boys in June 1940?,Move to a safer location,John Matthews' retirement,Fear of German invasion,German bombing raids,Completion of the school year,C
What is notable about the architecture of the Gurjara-Pratihara era?,The architecture features open pavilions and notable examples of sculptures and carved panels.,The architecture is constructed in a closed pavilion style.,The architecture is characterized by intricate carvings and sculptures.,The most notable example of architecture is the Khajuraho temple.,The architecture was primarily built by the Chandelas of Bundelkhand.,C
"In the context of Cox model engines, what action did Estes Industries take in February 2009?",They discontinued the production of RC and electric products.,They sold all of their remaining stock to Cox Hobby Distributors.,They initiated a product recall for certain engines and models.,They sold their remaining classic Cox stock to private buyers.,They replaced every sold-out item from the classic era.,D
Which Singaporean TV series features Bryan Wong running half-naked along the Marina Bay area and dangling from a multi-storey car park roof?,Jesseca Liu collaborates with Sora Ma in this series.,Jesseca Liu and Sora Ma are love rivals in this series.,The siblings continue driving and singing along the way.,Zheng Geping and Ben Yeo have topless scenes in this series.,This is Bryan Wong's most challenging series to date.,E
What is Marcel Albert known for during World War II?,Marcel Albert was a war correspondent who documented the events of World War II through photography.,Marcel Albert was a famous French artist who painted scenes of World War II.,"Marcel Albert was one of the top pilots in the Normandie squadron, recording multiple kills and eventually commanding the 1st escadrille.",Marcel Albert was a renowned resistance fighter who played a crucial role in liberating Eastern Prussia during World War II.,Marcel Albert was a skilled mechanic responsible for maintaining and repairing aircraft during World War II.,C
"In the municipality of Riederalp, what was the most popular party in the 2007 federal election?",The Green Party.,The FDP.,The CVP.,The SP.,The SVP.,C
During which war did Blair Clark serve in the Army?,World War I,Korean War,The excerpt does not mention any war,Vietnam War,World War II,E
Who succeeded Geoffrey of Taranto as the ruler of Trani?,There is no successor mentioned in the excerpt.,"Peter II, his brother","Amatus of Montecassino, his associate","Falgutce, his brother","Richard, his son",E
How were the sets for the film Alien constructed?,The sets were constructed using wood and fiberglass forms based on designs by art director Les Dilley.,The sets were constructed using Giger's designs as templates for the wood and fiberglass forms.,The sets were constructed using scale miniatures created by a crew of over 200 craftspeople and technicians.,"The sets were constructed using moulds and casts of Giger's designs, which were then scaled up as diagrams.",The sets were constructed using the three principal sets as templates for the wood and fiberglass forms.,A
What did Ethan Allen learn from Thomas Young?,He learned about the smallpox inoculation procedure.,He learned about the provincial boundary between Salisbury and New York.,He learned about nature and life on the frontier.,He learned about philosophy and political theory.,He learned about medicine and medical procedures.,D
What is the turning point in Beast Boy and Raven's relationship?,"Beast Boy encourages Raven to focus solely on her negative emotions, leading to a decline in their relationship.",Raven opens up about her true feelings and decides to embrace the positive emotions she has for Beast Boy.,"Raven's inner darkness resurfaces, causing her to push Beast Boy away and end their relationship.",Beast Boy realizes that he doesn't want to be with Raven anymore and decides to escape from her.,"Beast Boy confesses his love for Raven, but she is too afraid of the consequences to reciprocate.",B
What is one of the main factors contributing to child labor in the five Asian nations studied by Biggeri and Mehrotra?,Limited employment opportunities for adults,Cultural devaluation of education for boys,Government policies promoting child labor,Economic instability in the region,Lack of access to formal schooling for girls,E
What role did Joe Betts-LaCroix play in startup Halcyon Molecular in 2010?,Joe Betts-LaCroix was a key investor in startup Halcyon Molecular in 2010.,Joe Betts-LaCroix was responsible for leading the automation efforts at startup Halcyon Molecular in 2010.,Joe Betts-LaCroix led the marketing and advertising efforts of startup Halcyon Molecular in 2010.,Joe Betts-LaCroix was a consultant for startup Halcyon Molecular in 2010.,Joe Betts-LaCroix served as the CEO of startup Halcyon Molecular in 2010.,B
"What was one of the primary focuses of the National Ex-Slave Mutual Relief, Bounty and Pension Association?",The organization focused on promoting employment opportunities for former slaves.,The organization focused on advocating for voting rights for former slaves.,The organization focused on supporting the establishment of hospitals for former slaves.,The organization focused on advocating for increased access to education for former slaves.,The organization focused on supporting federal legislation for land ownership for former slaves.,E
What is the estimated time required to generate the entire reaction network for a simple model of CaMKII with just 6 states per subunit and 10 subunits on a 2.54 GHz Intel Xeon processor?,29 years,"29,000 years","2,900 years",290 years,2.54 years,D
What were the final results for the Kenyan athletes at the 2016 Summer Olympics?,Kenya won gold medals in men's discus throw and women's 3000 m steeplechase.,Kenya won gold medals in women's distance running and men's shot put.,Kenya won gold medals in women's distance running and men's 3000 m steeplechase.,Kenya won gold medals in men's distance running and women's 3000 m steeplechase.,Kenya won gold medals in men's distance running and women's discus throw.,C
What was the purpose of the temple of Svantevit?,The temple of Svantevit served as a center for performing sacred rituals involving fire.,The temple of Svantevit served as an oracle where the chief priest predicted the future of the tribe by observing the behavior of a white horse and casting dice.,The temple of Svantevit served as a gathering place for the tribe's leaders to discuss political matters.,The temple of Svantevit served as a place of worship for the goddess Diana.,The temple of Svantevit served as a repository for the tribe's historical artifacts.,B
